PDB ID,Chain
1jjz,A
2eri,A
1spw,A
2a28,A
1ce3,A
2gnc,A
1clf,
2j6f,A
1mhn,A
2a08,A
2b86,A
1ark,
1ju5,C
1kq1,A
1m3c,A
1s1n,A
1z9z,A
1rof,
2o8x,A
1y0m,A
1k4u,S
2f2v,A
2j05,A
1zsg,A
2exs,C
1aww,
1wyx,A
2dig,A
2dlm,A
2b1u,A
1o9y,A
2aj0,A
1ztg,A
2gjf,A
1dt4,A
2hvy,B
2f40,A
1uso,A
1uta,A
1uv7,A
1cb1,
1x3u,A
1b4r,A
2fgo,A
2gsk,B
1pmz,A
2fj6,A
1a7g,E
1s72,X
1d1r,A
1is7,K
1irj,A
1vku,A
2d9r,A
1cmi,A
1zpv,A
1m62,A
1v74,B
1nps,A
1wkt,
2i6v,A
2ivy,A
1lkn,A
2he4,A
2dar,A
1yd3,A
1o51,A
1ucp,A
1xe1,A
1b64,
2fhm,A
2glw,A
2h50,A
2dad,A
1txy,A
2iwo,A
2iwq,A
1q8b,A
1j8k,A
1ihj,A
2ia9,A
1l6o,A
1vj6,A
1k5j,A
1zm0,A
1nz6,A
1rzx,A
2byg,A
1cqm,A
1j27,A
2dir,A
1snl,A
2ccv,A
1mwq,A
1wwj,A
2cz4,A
1l3p,A
1p68,A
1zwi,C
1zld,A
1n7t,A
2hga,A
2dle,A
1q3o,A
1ygt,A
2a10,A
1yj5,C
1aiu,
1qq3,A
1sa8,A
1zsz,A
2dtt,A
1xj4,A
1fxk,A
2h2b,A
1xk8,A
2ifx,A
2dm4,A
2d92,A
1gmx,A
2d0o,B
1zzp,A
1z9w,A
2avg,A
1byw,A
2ane,A
1iu9,A
2f51,A
1nze,A
1ihn,A
2gsc,A
2igp,A
2fcj,A
1o4t,A
1th8,B
1nc7,A
2dm8,A
1y81,A
2d5r,B
1pt0,A
1v62,A
2b4a,A
1a7d,
1ddn,A
1ofu,X
2cyj,A
1gcz,A
1yrx,A
1f51,E
1mww,A
1vr7,A
1xhe,A
1dhn,
2cjt,A
1b00,A
1d5w,A
1dz3,A
1oof,A
1oxb,B
1y1l,A
2fh5,A
2frs,A
1ask,A
1rlw,
2dj5,A
1ttc,A
1ifq,A
2chd,A
1p6q,A
1aq3,A
1ax8,
1bbh,A
2erj,D
1ab0,
1e6k,A
2amu,A
2nq3,A
2hhg,A
1fxk,C
1nu0,A
2ayz,A
2iel,A
1a78,A
1edy,A
1dqg,A
1dcf,A
1zhv,A
1bkz,A
1c1f,A
1wjg,A
2o3b,B
1gmi,A
2gjv,A
2b0h,A
1jl3,A
2fz5,A
1r62,A
1fst,A
1kjl,A
2cdp,A
1fla,
1q77,A
2hms,A
1ej8,A
2dmh,A
1g86,A
1gqo,A
2b98,A
2j3t,C
1y2t,A
2ixq,A
2j3w,A
1o50,A
2ixq,B
1tnr,A
1i3c,A
1mjh,A
1di0,A
2iqq,A
1p8a,A
1xjc,A
1ykg,A
1akq,
1o6d,A
2fek,A
2f1r,A
2erv,A
1kz1,A
1zgg,A
1w90,A
2d6o,X
1cnt,1
1bvy,F
1kjn,A
1s8a,A
1cx1,A
1t4q,A
1ns5,A
2c41,A
1gui,A
2gm3,A
1uvh,A
2cf7,A
1rli,A
1vh0,A
1xww,A
1y5e,A
2bes,A
2fzf,A
2hjv,A
1woz,A
1d1q,A
1np6,A
2j1l,A
1jgc,A
1lih,
2g2d,A
1t5i,A
2g2j,A
1uux,A
2gj8,A
1f1m,A
1o9r,A
2gyq,A
1asu,
1u7o,A
1evs,A
1vlg,A
1x50,A
1z22,A
1g63,A
1au1,A
1buy,A
1il6,
1b1c,A
1i1r,B
1sr4,A
1m8g,A
2hwx,A
2j41,A
2j9l,A
1nf4,A
2clb,A
1xtq,A
1y63,A
1z0j,A
1rcu,A
1wa5,A
2d4z,A
1pui,A
1zwk,A
1s14,A
1spv,A
2ffx,J
1wmx,A
1rkb,A
1uad,A
2g77,B
2gf0,A
1gnc,
2bmj,A
2h18,A
1nya,A
1x3s,A
2c2f,A
1j4x,A
1gwn,A
1i6w,A
1jrl,A
1jwq,A
2ica,A
1a7m,
1yyf,D
1hur,A
2cjw,A
2nt8,A
1shu,X
1bed,
1vg0,B
2cxx,A
1f6f,A
1hwg,A
1dzi,A
1jbj,A
1f38,A
1gky,
2iss,D
1sul,A
2fi1,A
1yd9,A
1cjk,A
2gar,
1a23,
2fxv,A
1i5d,A
1z6o,M
1yad,A
1grn,A
1ki9,A
2jaq,A
1jf0,A
1pex,
1nks,A
1tev,A
1itv,A
1lbm,A
1na5,A
1i7q,B
1chd,
1ukv,Y
2b0c,A
1viw,B
1v5x,A
1v77,A
1kuu,A
1rtg,
1xi3,A
1kxj,A
1vlw,A
2c71,A
2in3,A
1kwn,A
2hpv,A
1e9c,A
1wx0,A
1j2w,A
1vhc,A
1so6,A
1jp3,A
1mxs,A
2d2r,A
2fnj,A
1v8e,A
2nly,A
1auo,A
1l6w,A
1tqx,A
1oy1,A
1r4w,A
1vav,A
1yau,A
1dzb,A
1oq1,A
1uai,A
1u5h,A
1w0m,A
1g69,A
1o1z,A
1vcv,A
1viz,A
1vzw,A
1w8g,A
2cws,A
1u83,A
1v6z,A
1sgj,A
2f6u,A
2a6y,A
1b54,
1sfl,A
1zic,A
2gb4,A
1n7k,A
1tl2,A
1twd,A
1w17,A
2agk,A
1wzc,A
1z5o,A
1azd,A
1dbt,A
1al3,
1g65,F
2a5z,A
1g60,A
1zcc,A
1xs5,A
1n3o,A
1uay,A
1mve,A
1iru,A
2c4i,A
1mss,A
2g1p,A
1xo1,A
1r1z,A
2dfa,A
1twy,A
1mxf,A
1o9g,A
1ufk,A
2faw,A
1w8r,A
1yx1,A
1b9b,A
1bjq,A
1gqn,A
1jcl,A
2dqw,A
1wcx,A
1csm,A
1dxe,A
1gpw,A
1vpy,A
2gzx,A
1f3r,B
1eye,A
1fwn,A
1qgo,A
1gs5,A
1k77,A
1vpq,A
1a50,A
2ab5,A
1npe,A
1yt4,A
2cc1,A
2b4l,A
1dy6,A
1o4y,A
1dyp,A
1ba2,A
1jtd,B
2nxo,A
1nw8,A
1gvf,A
2g0w,A
1yco,A
1i60,A
1q7f,A
1pv8,A
1boo,A
2aam,A
2bv9,A
1qtw,A
1xx1,A
2fmn,A
2hk0,A
1x2j,A
1v93,A
1f5z,A
1tvn,A
2ghs,A
1o5k,A
1p4k,A
2b4w,A
1xxx,A
1lf1,A
1rv8,A
2fp8,A
2ho3,A
1ijq,A
1vyh,C
1xea,A
1e1a,A
1iub,A
2b5n,A
1g55,A
1s18,A
2b81,A
1gyh,A
2d80,A
1wzz,A
1brl,B
2h9l,A
1f07,A
2dso,A
1vbr,A
1dct,A
2c91,A
1m41,A
1rhc,A
1ri6,A
1v04,A
2c13,A
1ne9,A
1gxr,A
1jju,B
1b9x,A
1jmx,B
1brl,A
1h7o,A
1yfq,A
1vr6,A
2i7g,A
2g8s,A
1ezw,A
1og0,A
1cvm,A
1r5m,A
1jph,A
1dos,A
2h8z,A
2agl,A
1nc5,A
1zah,A
2f26,A
1jof,A
1zz0,A
1mda,H
1xip,A
1lax,A
1dyk,A
1vd5,A
1dil,
1sq9,A
1mg2,A
1v5c,A
1a4g,A
1axk,A
1fp3,A
2hcv,A
2bf6,A
1nex,B
1txv,A
